gene	gene_id	polyA_length	G_readsnum	average_G_content
AT1G29920|AT1G29920.1	AT1G29920	28	2449	0.002586641
AT2G34420|AT2G34420.1	AT2G34420	39	2480	0.002753938
AT1G79040|AT1G79040.1	AT1G79040	30	1983	0.002677228
AT1G29910|AT1G29910.1	AT1G29910	36	2086	0.002546573
AT1G29930|AT1G29930.1	AT1G29930	34	2088	0.002697029
AT4G28750|AT4G28750.1	AT4G28750	38	2056	0.002703253
AT1G55670|AT1G55670.1	AT1G55670	37	1471	0.002637515
AT1G67090|AT1G67090.2	AT1G67090	34	1189	0.002517391
AT1G67090|AT1G67090.1	AT1G67090	34	1120	0.002508953
AT3G47470|AT3G47470.1	AT3G47470	36	1021	0.002645515
AT3G16640|AT3G16640.1	AT3G16640	25	538	0.002286293
AT5G54770|AT5G54770.1	AT5G54770	31	722	0.0026235
AT1G09310|AT1G09310.1	AT1G09310	34	732	0.002658052
AT5G54270|AT5G54270.1	AT5G54270	34	721	0.002655196
AT5G27660|AT5G27660.2	AT5G27660	29	632	0.002772966
AT1G07590|AT1G07590.1	AT1G07590	30	649	0.002815242
AT3G61470|AT3G61470.1	AT3G61470	36	759	0.00285945
AT1G08380|AT1G08380.1	AT1G08380	35	652	0.002488844
AT1G20340|AT1G20340.1	AT1G20340	39	770	0.00296494
AT5G02380|AT5G02380.1	AT5G02380	29	526	0.002604568
AT1G30380|AT1G30380.1	AT1G30380	38	583	0.00254739
AT4G23670|AT4G23670.1	AT4G23670	32	554	0.002659321
AT1G60950|AT1G60950.1	AT1G60950	39	609	0.002588441
AT5G38410|AT5G38410.2	AT5G38410	34	521	0.002572899
AT2G08665|AT2G08665.1	AT2G08665	39	617	0.002890443
AT5G38410|AT5G38410.3	AT5G38410	34	496	0.002571604
AT5G38410|AT5G38410.1	AT5G38410	34	465	0.002441676
AT2G38540|AT2G38540.1	AT2G38540	37	575	0.002912669
AT1G03130|AT1G03130.1	AT1G03130	33	387	0.002288212
AT4G38770|AT4G38770.1	AT4G38770	32	430	0.002581956
AT2G06520|AT2G06520.1	AT2G06520	35	424	0.002565119
AT3G21055|AT3G21055.1	AT3G21055	32	390	0.002451133
AT3G21055|AT3G21055.2	AT3G21055	33	386	0.002468688
AT1G64720|AT1G64720.1	AT1G64720	39	376	0.00237408
AT5G64040|AT5G64040.1	AT5G64040	36	293	0.002303685
AT3G01500|AT3G01500.3	AT3G01500	28	275	0.002676874
AT5G64040|AT5G64040.2	AT5G64040	35	297	0.00244822
AT3G01500|AT3G01500.4	AT3G01500	28	221	0.002302297
AT5G38420|AT5G38420.1	AT5G38420	37	340	0.002907333
AT1G61520|AT1G61520.2	AT1G61520	33	290	0.002662655
AT1G61520|AT1G61520.1	AT1G61520	33	345	0.003243785
AT2G05070|AT2G05070.1	AT2G05070	31	249	0.002742689
AT1G13930|AT1G13930.1	AT1G13930	30	242	0.002825408
AT1G51400|AT1G51400.1	AT1G51400	28	201	0.002625255
AT1G09800|AT1G09800.1	AT1G09800	32	666	0.007727882
AT1G09800|AT1G09800.2	AT1G09800	32	615	0.007613871
AT1G12090|AT1G12090.1	AT1G12090	32	204	0.002478673
AT1G54410|AT1G54410.1	AT1G54410	38	247	0.00276278
AT4G38970|AT4G38970.2	AT4G38970	35	209	0.002529144
AT2G45180|AT2G45180.1	AT2G45180	30	214	0.003013579
ATMG00020|ATMG00020.1	ATMG00020	20	126	0.002652419
AT1G10960|AT1G10960.1	AT1G10960	34	232	0.002962732
AT4G38970|AT4G38970.1	AT4G38970	35	193	0.002454541
AT3G53420|AT3G53420.1	AT3G53420	26	137	0.002238176
AT4G00100|AT4G00100.1	AT4G00100	29	176	0.002541363
AT1G74470|AT1G74470.1	AT1G74470	31	195	0.002906977
AT2G05100|AT2G05100.1	AT2G05100	33	193	0.002703255
AT4G02770|AT4G02770.1	AT4G02770	35	187	0.002479636
